Source,Page,Unit,Topic,Code
get list of PID,lsof -wni tcp:3000,,,
kill server via bash,lsof -i :3000,,,
kill -9,kill -9 30100,"PID number to right of "-9"""ID ",,
,kill -9 23750,,,
,,,,
make directory,mkdir [dir],mkdir practice,,
change directory,cd [dir],cd practice,,
print working dir,pwd,,,
list contents,ls,,,
make directory,mkdir [dir],mkdir coding,,
change directory,cd [dir] [path],cd coding,,
create file,touch [file],touch solution.md,,
move file to another directory,mv [file] [dir],mv solution.md coding,,
move file to another file (rename),mv [file] [file],mv solution.md new-solution.md,,
copy a file,cp [original file] [target file],cp new-solution.md algorithm.md,,
remove a file,rm [file],rm algorithm.md,,
open file w/ default application,open [file],open algorithm.md,,
remove a directory,rrmdir [dir] OR rm -r [dir],rmdir coding,,
remove directory and its contents,rm -rf [dir],rm -rf coding,,
,,,,
find a file,find [dir] -name [filename],find . -name practice.html,,
find all files w/ extension,find [dir] -name *.ext,find [dir] -name *.jpg,,
search for a string in a file,grep [string] [filename],"grep "hello" myfile.md""rep "hello" myfi""ep "hello" ""p "hell"" "he"""h""h",,
search recursively for all occurrences of a string,grep -r [string] [dir],"grep -r "hello" .""rep -r """",,
,,,,
,,,,
CORE COMMANDS,cd,Home directory,,
CORE COMMANDS,cd [folder],Change directory,,
CORE COMMANDS,cd ~,"Home directory, e.g. ‘cd ~/folder/’",,
CORE COMMANDS,cd /,Root of drive,,
CORE COMMANDS,ls,Short listing,,
CORE COMMANDS,ls -l,Long listing,,
CORE COMMANDS,ls -a,Listing incl. hidden files,,
CORE COMMANDS,ls -lh,Long listing with Human readable file sizes,,
CORE COMMANDS,ls -R,Entire content of folder recursively,,
CORE COMMANDS,sudo [command],Run command with the security privileges of the superuser (Super User DO),,
CORE COMMANDS,open [file],Opens a file ( as if you double clicked it ),,
CORE COMMANDS,top,Displays active processes. Press q to quit,,
CORE COMMANDS,nano [file],Opens the Terminal its editor,,
CORE COMMANDS,pico,[file],,
CORE COMMANDS,q,Exit,,
CORE COMMANDS,clear,Clear screen,,
COMMAND HISTORY,history n,Shows the stuff typed – add a number to limit the last n items,,
COMMAND HISTORY,ctrl-r,Interactively search through previously typed commands,,
COMMAND HISTORY,![value],Execute the last command typed that starts with ‘value’,,
COMMAND HISTORY,!!,Execute the last command typed,,
FILE MANAGEMENT,touch [file],Create new file,,
FILE MANAGEMENT,pwd,Full path to working directory,,
FILE MANAGEMENT,..,"Parent/enclosing directory, e.g.",,
FILE MANAGEMENT,‘ls -l ..’ = Long listing of parent directory,,,
FILE MANAGEMENT,‘cd ../../’ = Move 2 levels up,,,
FILE MANAGEMENT,.,Current folder,,
FILE MANAGEMENT,cat,Concatenate to screen,,
FILE MANAGEMENT,rm [file],"Remove a file, e.g. rm [file] [file]",,
FILE MANAGEMENT,rm -i [file],Remove with confirmation,,
FILE MANAGEMENT,rm -r [dir],Remove a directory and contents,,
FILE MANAGEMENT,rm -f [file],Force removal without confirmation,,
FILE MANAGEMENT,rm -i [file],Will display prompt before,,
FILE MANAGEMENT,cp [file] [newfile],Copy file to file,,
FILE MANAGEMENT,cp [file] [dir],Copy file to directory,,
FILE MANAGEMENT,mv [file] [new filename],"Move/Rename, e.g. mv -v [file] [dir]",,
DIRECTORY MANAGEMENT,mkdir [dir],Create new directory,,
DIRECTORY MANAGEMENT,mkdir -p [dir]/[dir],Create nested directories,,
DIRECTORY MANAGEMENT,rmdir [dir],Remove directory ( only operates on empty directories ),,
DIRECTORY MANAGEMENT,rm -R [dir],Remove directory and contents,,
PIPES – Allows to combine multiple commands that generate output,more,Output content delivered in screensize chunks,,
PIPES – Allows to combine multiple commands that generate output,> [file],"Push output to file, keep in mind it will get overwritten",,
PIPES – Allows to combine multiple commands that generate output,>> [file],Append output to existing file,,
PIPES – Allows to combine multiple commands that generate output,<,Tell command to read content from a file,,
HELP,[command] -h,Offers help,,
HELP,[command] —help,Offers help,,
HELP,[command] help,Offers help,,
HELP,reset,Resets the terminal display,,
HELP,man [command],Show the help for ‘command’,,
HELP,whatis [command],Gives a one-line description of ‘command’,,
,,,,
,,,,
SHORTCUTS,Ctrl + A,Go to the beginning of the line you are currently typing on,,
SHORTCUTS,Ctrl + E,Go to the end of the line you are currently typing on,,
SHORTCUTS,Ctrl + L,Clears the Screen,,
SHORTCUTS,Command + K,Clears the Screen,,
SHORTCUTS,Ctrl + U,"Clears the line before the cursor position. If you are at the end of the line, clears the entire line.",,
SHORTCUTS,Ctrl + H,Same as backspace,,
SHORTCUTS,Ctrl + R,Lets you search through previously used commands,,
SHORTCUTS,Ctrl + C,Kill whatever you are running,,
SHORTCUTS,Ctrl + D,Exit the current shell,,
SHORTCUTS,Ctrl + Z,Puts whatever you are running into a suspended background process. fg restores it.,,
SHORTCUTS,Ctrl + W,Delete the word before the cursor,,
SHORTCUTS,Ctrl + K,Clear the line after the cursor,,
SHORTCUTS,Ctrl + T,Swap the last two characters before the cursor,,
SHORTCUTS,Ctrl + F,Move cursor one character forward,,
SHORTCUTS,Ctrl + B,Move cursor one character backward,,
SHORTCUTS,Esc + F,Move cursor one word forward,,
SHORTCUTS,Esc + B,Move cursor one word backward,,
SHORTCUTS,Esc + T,Swap the last two words before the cursor,,
SHORTCUTS,Tab,Auto-complete files and folder names,,
