unstage files,git reset HEAD .,
,,
1,<no PR>,
,,
1,git checkout master,
2,git pull origin master,
3,git branch -D branch_name,
4,git checkout -b feature-branch,
,,
,,
,git push --set-upstream https://github.com/4rlm/solo_3.4_responsive-design master,
,git branch -d branch_name,delete branch
,git branch -D branch_name,delete branch - even if not merged/saved
Git A,A. Git Workflow,https://devbootcamp.instructure.com/courses/136/pages/git-workflow
Git A,1. Create Repository,
Git A,git init,create git file in dir
Git A,git add solver.md,add file to dir
Git A,"git commit -m "initial Commit"""it commit -m "i""t",commit file to dir
Git A,2. Create a Branch,
Git A,git branch,list branches
Git A,git checkout old-branch,checkout old branch
Git A,git checkout -b login-form,create and checkout new branch
Git A,3. Check the Status,
Git A,git status,
Git A,4. Add Files for Staging,
Git A,git add myfile.md,
Git A,git add file-1.md file-2.md,
Git A,5. Commit Changes,
Git A,"git commit -m "add data file"""it commit -m """",
Git A,6. Merge the Master Branch into the Feature Branch,
Git A,git status,
Git A,git merge master,
Git A,7. Merge the Feature Branch into the Master Branch,
Git A,git checkout master,
Git A,git merge feature-branch-name,
GitHub B,B. GitHub Workflow,https://devbootcamp.instructure.com/courses/136/pages/github-workflow
GitHub B,Either Fork or Create Repository on GitHub,
GitHub B,Clone to local computer,
GitHub B,1. Forking a Repository,
GitHub B,Navigate to repository on other account.,
GitHub B,Choose Fork,
GitHub B,Select which of your own accounts to Fork into (if multiple),
GitHub B,View Forked Repository on own account.,
GitHub B,2. Creating a Repository - New Project,
GitHub B,Create Repository in GitHub,
GitHub B,Fill out details.,
GitHub B,3. Creating a Repository - Existing Project,
GitHub B,Create Repository in GitHub,
GitHub B,Copy url of repository,
GitHub B,git init (inside existing project via terminal),
GitHub B,git add .,
GitHub B,"git commit -m "initial commit"""it commit -m "i""t",
GitHub B,git remote add origin <COPIED-URL> Add remote,
GitHub B,git push -u origin master,
GitHub B,4. Cloning a Repository,
GitHub B,git remote -v (verify if local directory is linked to GitHub),
GitHub B,Copy url of project you want to clone from GitHub.,
GitHub B,ls -la (verify no existing .git folder),
GitHub B,git clone <COPIED-URL>,
GitHub B,Credentials prompt,
GitHub B,ls (confirm cloned projected has been added to local),
GitHub B,cd (navigate into cloned project),
GitHub B,atom . (open in atom),
GitHub B,5. Keeping Your Local Repository Up to Date,**
GitHub B,"Before making changes locally, pull most recent from GH.",
GitHub B,git checkout master,
GitHub B,git pull origin master,
GitHub B,6. Making and Pushing Changes,
GitHub B,git push origin feature-branch-name (sends code in branch),
GitHub B,* TEMPLATE: git push <REMOTE NAME> <BRANCH NAME>,
GitHub B,* git push (thus push can be called without a remote or origin),
GitHub B,7. Making a Pull Request,**
GitHub B,1) Push feature branch to GH,
GitHub B,"2) "Compare and Pull Request" or "Create New Pull Request""") "Compare and Pull Request" or "Create New Pull Reque"" "Compare and Pull Request" or "Create New Pull Req"""Compare and Pull Request" or "Create New Pull Re""Compare and Pull Request" or "Create New Pull Re""ompare and Pull Request",
GitHub B,3) Verify base (master) and feature branch,
GitHub B,4) Title & Description of pull request.,
GitHub B,"5) "Create Pull Request""") "Create Pull Reque"" "Create Pull Req"""Create Pull Re""Create Pull Re",
GitHub B,6) Wait for approval to be merged.,
GitHub B,7) Compare changes.,
GitHub B,"8) "Merge Pull Request" (to approve)"") "Merge Pull Request" (to appro"" "Merge Pull Request" (to app"""Merge Pull Request" (to ap""Merge Pull Request" (to ap""erge Pu",
GitHub B,"9) "Confirm Merge""") "Confirm Mer"" "Confirm M"""Confirm ""Confirm ",
GitHub B,10) Verify changes have been merged.,
GitHub B,11) Delete feature branch to keep things clean.,
Git 1.3,Git Exercise: 1.3 Create Directory,
Git 1.3,mkdir practice-repo,
Git 1.3,cd practice-repo,
Git 1.3,ls -a,
Git 1.3,git init,
Git 1.3,ls -a,
Git 1.3,rm -rf .git,if wanting to undo last action
Git 1.3,touch test_file.txt,
Git 1.3,ls,
Git 1.3,git status,
Git 1.3,git add test_file.txt,
Git 1.3,git status,
Git 1.3,"git commit -m "Add test file to practice committing."""it commit -m "Add test file to practic""t commit -m "Add test fi"" commit -m ",
Git 1.3,git status,
Git 1.3,history,
Git 1.4,Git Exercise: 1.4 Branching in Git,
Git 1.4,(create directory and file),
Git 1.4,mkdir practice-repo,
Git 1.4,cd practice-repo,
Git 1.4,git init,
Git 1.4,touch test_file.txt,
Git 1.4,"git commit -m "Add a test file"""it commit -m "Ad""t ",
Git 1.4,(create feature branch),
Git 1.4,git branch,
Git 1.4,git checkout -b feature-branch,
Git 1.4,git branch,
Git 1.4,touch feature_file.txt,
Git 1.4,git status,
Git 1.4,git add feature_file.txt,
Git 1.4,git status,
Git 1.4,"git commit -m "Implement vague and imaginary feature"""it commit -m "Implement vague and imag""t commit -m "Implement v"" commit -m ",
Git 1.4,git status,
Git 1.4,(switch branches to confirm new branch created),
Git 1.4,git branch,
Git 1.4,git checkout master,
Git 1.4,git branch,
Git 1.4,ls,
Git 1.4,git checkout feature-branch,
Git 1.4,ls,
Git 1.4,(merge),
Git 1.4,git checkout master,
Git 1.4,git merge feature-branch,
Git 1.4,ls,
GitHub 1.5,GitHub Exercise: 1.5 Pull Request and  Clone,
,https://github.com/Devbootcamp/phase-0-tracks,
,Fork (button),
,Verify fork in Personal Acct,
,mkdir devbootcamp,
,"Clone copy from personal repository to computer, which creates local phase-0-tracks ",
,,
,,
,,
,,
,,
,,
,,
,,
